+I[Caucasian Male, 140, 22, @AnnCoulter, -0.3818]
+I[Tomcat, 11, 2, no retweet, 0.0]
+I[William Barnes, 99, 14, @USMCLiberal, -0.5423]
+I[Lindy, 139, 21, @sarahkendzior, -0.6249]
+I[Nunni ⭐⭐⭐, 139, 22, @GovMikeHuckabee, -0.1232]
+I[Ari Hatz, 140, 20, @CorentinSellin, -0.128]
+I[JingleBells, 140, 22, @AnnCoulter, -0.3818]
+I[PatriQt+1 ⭐⭐⭐ 🇺🇸🇺🇸🇺🇸, 140, 20, @Kim05098521, 0.0]
+I[Scarlett, 140, 23, @TonyHWindsor, 0.0]
+I[J.M., 140, 19, @Newsweek, 0.4019]
+I[Global View, 139, 22, @Geno1955, -0.7003]
+I[ZerØ HØur, 81, 10, @lindanye6615, 0.5319]
+I[William Barnes, 99, 14, @USMCLiberal, -0.5423]
+I[Becky Hamler, 109, 10, @realDonaldTrump, -0.6876]
+I[Paula Phillips, 140, 25, @Acosta, 0.765]
+I[Treadway, 140, 18, @FFRAFAction, 0.3612]
+I[Electric Dragon, 140, 27, @brycetache, -0.3818]
+I[Frank6351, 140, 21, @TheRightMelissa, 0.0]
+I[Michael Jarrett, 84, 8, @RogueNASA, 0.0]
+I[Elizabeth Stern©, 140, 20, @seanmdav, -0.3818]
+I[Greg Lavergne, 140, 20, @RepAdamSchiff, -0.7717]
+I[Dominic Apold #MAGA, 139, 21, @LisaMei62, 0.0]
+I[Veuhx18, 140, 15, @caniwar, 0.0]
+I[Dea, 140, 23, @AnnCoulter, -0.8658]
+I[parenta, 140, 20, @RepAdamSchiff, -0.7717]
+I[Denny Taylor, 139, 20, @GabbyGiffords, -0.873]
+I[Holly Lee, 125, 16, @realDonaldTrump, 0.0]
+I[Linda Traitz, 140, 21, @InezFeltscher, -0.4678]
+I[J.M., 140, 19, @Newsweek, 0.4019]
+I[Jordan, 140, 19, @SenBlumenthal, -0.1068]
+I[Jennifer Harris, 140, 17, @dollyp724, 0.2732]
+I[jenn k, 140, 27, @brycetache, -0.3818]
+I[Ms. Marbella🌊, 140, 21, @coleimage, 0.0]
+I[HYS&B, 124, 16, @deanbarker, 0.0]
+I[jenn k, 140, 27, @brycetache, -0.3818]
+I[CHRIS SITTARD, 77, 9, @ACTBrigitte, -0.4767]
+I[PatriQt+1 ⭐⭐⭐ 🇺🇸🇺🇸🇺🇸, 140, 20, @Kim05098521, 0.0]
+I[Neil Gilman, 140, 22, @DerekCressman, -0.2263]
+I[Donald Reith, 79, 10, no retweet, 0.7269]
+I[Mahmood Hashmi, 56, 5, @Mahmoodhashmi11, 0.3612]
+I[J.M., 140, 19, @Newsweek, 0.4019]
+I[Christian Dominé, 140, 21, @chatignoux, 0.1779]
+I[Bill Cramer, 139, 20, @gatewaypundit, 0.296]
+I[Elizabeth Stern©, 140, 20, @seanmdav, -0.3818]
+I[RONALD v.#StemRutteWeg#Nexit, 81, 9, @DavidJHarrisJr, 0.0]
+I[Cherie Cole, 140, 23, @Saintsfan5348, 0.7269]
+I[Richard Lamb, 136, 17, no retweet, 0.0]
+I[Michael Jarrett, 84, 8, @RogueNASA, 0.0]
+I[Kurt, 140, 22, @BradThor, -0.7506]
+I[AnnaLi👩‍🔬, 140, 21, @LindseyGrahamSC, 0.3818]
+I[Scarlett, 140, 23, @TonyHWindsor, 0.0]
+I[Patriot Mary, 140, 20, @PrisonPlanet, 0.0]
+I[Denny Taylor, 139, 20, @GabbyGiffords, -0.873]
